City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
136,Labuhan,ID,-6.8844,112.2051,83.16,69,73,2.89,broken clouds,2022-06-28 03:57:40
137,Nizhniy Odes,RU,63.6445,54.856,37.42,91,100,13.06,light rain,2022-06-28 03:57:41
138,San Quintin,MX,30.4833,-115.95,70.99,77,5,5.39,clear sky,2022-06-28 03:51:00
139,Nichinan,JP,31.6,131.3667,83.88,74,100,12.21,overcast clouds,2022-06-28 03:57:41
140,Cabedelo,BR,-6.9811,-34.8339,74.07,88,91,14.2,overcast clouds,2022-06-28 03:51:50
141,Dom Pedrito,BR,-30.9828,-54.6731,57.22,97,100,1.45,light rain,2022-06-28 03:57:42
142,Anadyr,RU,64.75,177.4833,59.5,63,40,11.18,scattered clouds,2022-06-28 03:57:42
143,Pangody,RU,65.85,74.4859,50.67,91,100,22.93,light rain,2022-06-28 03:52:08
144,Faya,SA,18.3851,42.4509,69.91,27,74,8.81,broken clouds,2022-06-28 03:52:42
145,Abbeyfeale,IE,52.3814,-9.3025,57.52,97,100,8.55,light rain,2022-06-28 03:57:43
146,Jiaojiang,CN,28.6803,121.4428,93.99,72,100,15.5,moderate rain,2022-06-28 03:57:43
147,Nanakuli,US,21.3906,-158.1547,84.15,50,75,16.11,broken clouds,2022-06-28 03:51:22
148,Ancud,CL,-41.8697,-73.8203,50.23,90,100,29.19,moderate rain,2022-06-28 03:53:56
149,Raudeberg,NO,61.9875,5.1352,56.07,92,100,8.84,overcast clouds,2022-06-28 03:57:44
150,Leo,BF,11.1,-2.1,75.6,80,46,5.99,scattered clouds,2022-06-28 03:57:44
151,Sept-Iles,CA,50.2001,-66.3821,59.52,99,100,5.75,light intensity drizzle,2022-06-28 03:57:44
152,Tynda,RU,55.1667,124.7167,81.66,41,49,2.06,scattered clouds,2022-06-28 03:57:45
153,Ingham,US,42.6,-84.3833,55.35,74,0,4.94,clear sky,2022-06-28 03:57:45
154,Axim,GH,4.8699,-2.2405,75.6,92,87,5.14,light rain,2022-06-28 03:57:45
155,Leh,IN,34.1667,77.5833,65.95,27,0,3.58,clear sky,2022-06-28 03:57:46
156,Nishihara,JP,26.1842,127.7558,87.08,70,75,21.85,broken clouds,2022-06-28 03:57:46
157,Verkhnevilyuysk,RU,63.4453,120.3167,65.41,42,94,4.25,overcast clouds,2022-06-28 03:53:57
158,Lalibela,ET,12.0333,39.0333,60.42,68,61,1.79,broken clouds,2022-06-28 03:57:46
159,Vao,NC,-22.6667,167.4833,72.43,82,100,11.34,light rain,2022-06-28 03:52:07
160,Mahebourg,MU,-20.4081,57.7,70.09,60,40,17.27,scattered clouds,2022-06-28 03:50:31
161,Erzin,TR,36.9559,36.2,74.05,66,0,0.85,clear sky,2022-06-28 03:57:47
162,Nanortalik,GL,60.1432,-45.2371,43.99,78,100,14.23,light rain,2022-06-28 03:51:28
163,Bengkulu,ID,-3.8004,102.2655,83.82,67,65,6.04,broken clouds,2022-06-28 03:50:23
164,Puerto Madero,MX,14.7208,-92.4215,79.18,79,30,2.71,scattered clouds,2022-06-28 03:57:48
165,Urussanga,BR,-28.5178,-49.3208,58.32,94,99,2.95,overcast clouds,2022-06-28 03:57:48
166,Kiunga,PG,-6.1219,141.2906,87.55,61,90,1.68,moderate rain,2022-06-28 03:53:48
167,Fairbanks,US,64.8378,-147.7164,79.61,38,0,13.8,smoke,2022-06-28 03:52:24
168,Sibolga,ID,1.7427,98.7792,82.76,75,100,4.07,overcast clouds,2022-06-28 03:57:49
169,Mar Del Plata,AR,-38.0023,-57.5575,48.09,70,0,5.75,clear sky,2022-06-28 03:50:39
170,Lagoa,PT,39.05,-27.9833,64.18,78,9,9.15,clear sky,2022-06-28 03:51:50
171,Thompson,CA,55.7435,-97.8558,48.36,81,20,5.75,few clouds,2022-06-28 03:51:16
172,Haverhill,US,42.7762,-71.0773,71.51,61,100,5.01,overcast clouds,2022-06-28 03:53:54
173,Naze,JP,28.3667,129.4833,85.12,78,100,15.57,overcast clouds,2022-06-28 03:51:56
174,Okhotsk,RU,59.3833,143.3,52.95,83,40,12.64,scattered clouds,2022-06-28 03:52:31
175,Marzuq,YE,14.4,46.4667,83.32,45,85,3.11,overcast clouds,2022-06-28 03:51:25
176,Port Macquarie,AU,-31.4333,152.9167,62.89,80,95,11.65,overcast clouds,2022-06-28 03:57:50
177,Bara,NG,10.3744,10.7288,70.34,81,87,7.05,overcast clouds,2022-06-28 03:57:50
178,Santa Fe,AR,-31.6333,-60.7,52.0,91,100,1.99,light rain,2022-06-28 03:57:50
179,Cherskiy,RU,68.75,161.3,46.67,75,100,4.03,light rain,2022-06-28 03:50:35
180,Pilar Do Sul,BR,-23.8131,-47.7164,54.57,96,41,4.21,scattered clouds,2022-06-28 03:57:51
181,Straumen,NO,63.8709,11.2999,62.6,91,60,0.63,broken clouds,2022-06-28 03:57:51
182,Rokiskis,LT,55.9667,25.5833,70.92,82,87,2.48,overcast clouds,2022-06-28 03:57:52
183,Lashio,MM,22.9333,97.75,75.63,82,100,1.19,overcast clouds,2022-06-28 03:53:26
184,Maningrida,AU,-12.0667,134.2667,88.3,45,68,14.83,broken clouds,2022-06-28 03:57:52
185,Lavrentiya,RU,65.5833,-171.0,44.29,93,100,11.32,overcast clouds,2022-06-28 03:50:19
186,Alugan,PH,12.2188,125.4808,80.11,86,100,9.86,overcast clouds,2022-06-28 03:57:53
187,Cururupu,BR,-1.8283,-44.8683,73.33,97,94,2.91,heavy intensity rain,2022-06-28 03:52:04
188,Lewistown,US,40.5992,-77.5714,65.14,72,2,2.95,clear sky,2022-06-28 03:50:55
189,Brae,GB,60.3964,-1.353,53.76,92,34,14.83,scattered clouds,2022-06-28 03:50:42
190,Codrington,AU,-38.2667,141.9667,55.4,56,100,13.62,overcast clouds,2022-06-28 03:50:27
191,Cabo San Lucas,MX,22.8909,-109.9124,84.61,77,45,8.01,scattered clouds,2022-06-28 03:51:09
192,Kano,NG,12.0001,8.5167,75.09,88,0,12.66,clear sky,2022-06-28 03:57:53
193,Nikolskoye,RU,59.7035,30.7861,67.91,64,93,6.31,overcast clouds,2022-06-28 03:51:01
194,Homagama,LK,6.844,80.0024,83.95,78,100,7.27,overcast clouds,2022-06-28 03:57:54
195,Cidreira,BR,-30.1811,-50.2056,60.28,90,100,3.22,overcast clouds,2022-06-28 03:50:21
196,Pangnirtung,CA,66.1451,-65.7125,38.88,96,100,0.78,overcast clouds,2022-06-28 03:50:46
197,Kismayo,SO,-0.3582,42.5454,76.39,81,66,17.96,light rain,2022-06-28 03:57:54
198,Bogoslovka,RU,53.2084,44.8013,67.03,85,2,9.35,clear sky,2022-06-28 03:57:55
199,Kamennogorsk,RU,60.9545,29.1339,65.55,57,72,9.01,broken clouds,2022-06-28 03:57:55
200,Maragogi,BR,-9.0122,-35.2225,74.61,86,27,10.33,scattered clouds,2022-06-28 03:57:55
201,Vila Velha,BR,-20.3297,-40.2925,64.94,87,75,4.61,broken clouds,2022-06-28 03:51:09
202,Pitimbu,BR,-7.4706,-34.8086,73.99,81,94,16.53,overcast clouds,2022-06-28 03:51:46
203,Samarai,PG,-10.6167,150.6667,82.36,76,89,11.23,overcast clouds,2022-06-28 03:57:56
