City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
271,Iquique,CL,60.84,overcast clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
272,Borogontsy,RU,66.88,light rain,62.6683,131.1683,
273,Bohodukhiv,UA,69.64,clear sky,50.1647,35.5276,мотель Сюжет
274,Saint-Augustin,CA,55.94,broken clouds,51.226,-58.6502,
275,Jacareacanga,BR,71.11,scattered clouds,-6.2222,-57.7528,Casa do Ian😎
277,Alofi,NU,82.29,few clouds,-19.0595,-169.9187,Taloa Heights
278,Genhe,CN,83.39,scattered clouds,50.7833,121.5167,Companionship Hotel
279,Isiolo,KE,62.58,broken clouds,0.3546,37.5822,Gaddisa Hotel
282,Douala,CM,73.31,scattered clouds,4.0483,9.7043,Hôtel Prince De Galles Douala
284,Yanam,IN,84.97,moderate rain,16.7333,82.2167,The Regency Hotel
285,Adrar,MR,85.28,clear sky,20.5022,-10.0711,
287,Savannah Bight,HN,81.88,few clouds,16.45,-85.85,Villa on Dunbar Rock
288,Ornskoldsvik,SE,63.64,clear sky,63.2909,18.7153,ファーストホテル スタット
289,Kimbe,PG,88.27,broken clouds,-5.5502,150.1429,Kimbe Bay Hotel
290,Ribeira Grande,PT,64.74,broken clouds,38.5167,-28.7,Quinta da Meia Eira
291,Saint-Philippe,RE,65.79,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
292,Pontes E Lacerda,BR,65.35,clear sky,-15.2261,-59.3353,Hotel Bressan
293,Faanui,PF,80.42,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
294,Gizo,SB,81.12,moderate rain,-8.103,156.8419,Imagination Island
295,Orlik,RU,85.21,broken clouds,52.5178,99.825,Gostevoy Dom Mini Gostinitsa
297,Ambulu,ID,82.69,broken clouds,-8.345,113.6058,Hotel Ambulu Jember
298,Alekseyevka,RU,71.11,clear sky,50.6309,38.6903,Apartment on Ploshchad Pobedy
300,San Policarpo,PH,80.71,overcast clouds,12.1791,125.5072,Agapita M. Nicart
301,Kirakira,SB,79.66,overcast clouds,-10.4544,161.9205,SanBiz Lodge
302,Rovenki,UA,65.5,overcast clouds,48.0833,39.3776,"Гостиница ""Идиллия"""
303,Road Town,VG,81.41,overcast clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
304,Virginia Beach,US,75.24,overcast clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
306,Tateyama,JP,78.26,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
307,Tibati,CM,64.27,overcast clouds,6.4667,12.6333,Tibati Hotel
309,Banda Aceh,ID,83.59,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
310,Victoria,HK,90.97,overcast clouds,22.2855,114.1577,Mini Central
311,Port Blair,IN,86.04,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
312,Pangkalanbuun,ID,87.49,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
313,Jumla,NP,71.56,overcast clouds,29.2747,82.1838,Royal Garden Hotel
314,Wajid,SO,70.48,overcast clouds,3.8093,43.2471,xamdihotelresturant114
315,Parrita,CR,75.88,overcast clouds,9.5201,-84.3225,Beso del Viento
316,Kota Kinabalu,MY,87.78,few clouds,5.9749,116.0724,Gaya Centre Hotel
317,Richards Bay,ZA,60.31,scattered clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
318,Severnoye,RU,55.92,overcast clouds,56.3491,78.3619,Gostinitsa Severyanka
319,Praia Da Vitoria,PT,66.76,broken clouds,38.7333,-27.0667,Hotel Branco I
320,Berlevag,NO,66.2,few clouds,70.8578,29.0864,Kvitbrakka
322,Sarkand,KZ,79.83,overcast clouds,45.41,79.9186,Гостиница Сарканд
323,Umm Lajj,SA,82.18,clear sky,25.0213,37.2685,Moon light Furnished Units
324,Ayan,RU,53.96,scattered clouds,56.45,138.1667,Gostinitsa
325,Bestobe,KZ,59.58,overcast clouds,52.4994,73.0975,
326,Nioki,CD,71.17,broken clouds,-2.7167,17.6833,
327,Sorong,ID,82.45,broken clouds,-0.8833,131.25,Waigo Splash Hotel
328,Iracoubo,GF,74.77,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
329,Manggar,ID,85.37,broken clouds,-2.8833,108.2667,Guest Hotel
330,Maddela,PH,79.84,overcast clouds,16.3414,121.6849,Tolentino bridal entourage
331,Bonthe,SL,77.45,light rain,7.5264,-12.505,Bonthe Holiday Village
332,Tomatlan,MX,78.21,overcast clouds,19.9333,-105.25,El Salvial
335,Alice Springs,AU,56.75,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
336,San Nicolas,PH,85.91,broken clouds,18.1725,120.5953,NORTHVIEW Hotel
337,San Ramon,US,73.49,clear sky,37.7799,-121.978,San Ramon Marriott
338,Korla,CN,94.91,clear sky,41.7597,86.1469,Gulisitan Hotel
339,Sur,OM,91.0,scattered clouds,22.5667,59.5289,Sur Plaza Hotel
340,Shaunavon,CA,69.58,few clouds,49.6501,-108.4181,Bear's Den Lodge
341,Guerrero Negro,MX,74.14,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
343,Wahpeton,US,72.32,overcast clouds,46.2652,-96.6059,Select Inn Breckenridge
344,Agadir,MA,63.05,clear sky,30.4202,-9.5982,Iberostar Founty Beach
