City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
636,Sobolevo,RU,54.4299,31.8996,70.56,87,36,5.41,scattered clouds,2022-06-28 03:53:38
637,Toppenish,US,46.3774,-120.3087,87.8,30,1,3.65,clear sky,2022-06-28 03:53:38
638,Sironj,IN,24.1,77.7,89.6,57,94,11.9,overcast clouds,2022-06-28 03:53:38
639,Grande Riviere Du Nord,HT,19.5833,-72.1833,76.28,83,100,1.23,overcast clouds,2022-06-28 03:53:39
640,Wilmington,US,34.2257,-77.9447,80.85,71,75,5.75,broken clouds,2022-06-28 03:51:00
641,Katobu,ID,-4.9408,122.5276,77.36,91,93,7.11,moderate rain,2022-06-28 03:53:39
642,Saint-Georges,GD,12.0564,-61.7485,78.48,89,20,13.8,few clouds,2022-06-28 03:51:18
643,Sibu,MY,2.3,111.8167,86.31,70,40,3.44,scattered clouds,2022-06-28 03:53:40
644,Kahului,US,20.8947,-156.47,84.22,62,20,20.71,few clouds,2022-06-28 03:53:40
645,Sur,OM,22.5667,59.5289,91.0,58,30,7.07,scattered clouds,2022-06-28 03:53:40
646,Chodavaram,IN,17.8333,82.95,84.04,54,99,7.23,overcast clouds,2022-06-28 03:53:41
647,Conway,US,35.0887,-92.4421,74.79,75,40,0.0,scattered clouds,2022-06-28 03:53:41
648,Ostrovnoy,RU,68.0531,39.5131,42.93,76,5,4.21,clear sky,2022-06-28 03:53:41
649,Honningsvag,NO,70.9821,25.9704,64.15,63,84,24.16,broken clouds,2022-06-28 03:53:42
650,Marakkanam,IN,12.2,79.95,90.5,50,86,4.34,overcast clouds,2022-06-28 03:53:42
651,Akyab,MM,20.15,92.9,82.49,79,99,10.98,overcast clouds,2022-06-28 03:53:42
652,Fujin,CN,47.26,132.0322,75.7,64,100,6.26,overcast clouds,2022-06-28 03:53:43
653,Khilok,RU,51.3674,110.4676,87.76,25,0,4.25,clear sky,2022-06-28 03:53:43
654,Talara,PE,-4.5772,-81.2719,63.55,88,5,16.46,clear sky,2022-06-28 03:53:44
655,Morgan City,US,29.6994,-91.2068,77.0,87,95,3.02,overcast clouds,2022-06-28 03:53:44
656,Avera,US,33.194,-82.5271,80.11,88,100,5.17,overcast clouds,2022-06-28 03:53:44
